Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office,RottenTomatoesID
9-Aug-13,Elysium,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,120000000,93050117,104838746,286192091,m/elysium_2013
20-May-11,Pirates of the Caribbean: On Stranger…,Walt Disney,Adventure,Based on Theme Park Ride,Live Action,Historical Fiction,379000000,241071802,278463771,1045713802,m/pirates_of_the_caribbean_on_stranger_tides
2-Jul-13,The Lone Ranger,Walt Disney,Western,Based on TV,Live Action,Historical Fiction,225000000,89302115,100615904,260002115,m/the_lone_ranger
19-Apr-13,Oblivion,Universal,Thriller/Suspense,Based on Comic/Graphic Novel,Live Action,Science Fiction,120000000,89107235,100396339,287916633,m/oblivion_2013
8-Nov-19,Playing with Fire,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,44451847,44451847,61249503,No
13-Dec-13,Saving Mr. Banks,Walt Disney,Drama,Based on Real Life Events,Live Action,Dramatization,35000000,83299761,93718827,114962525,m/saving_mr_banks_2013
17-Jul-13,Turbo,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,135000000,83028130,93547068,286896578,m/turbo_2013
2-Aug-13,2 Guns,Universal,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,61000000,75612460,85191893,132493015,m/2_guns
28-Jun-13,White House Down,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,150000000,73103784,82365392,205440387,m/white_house_down
18-Jan-13,Mama,Universal,Horror,Based on Short Film,Live Action,Fantasy,15000000,71628180,80702843,148095566,m/mama_2013
14-Feb-13,Safe Haven,Relativity,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,28000000,71399120,80444760,94050951,m/safe_haven
31-Jul-13,The Smurfs 2,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,110000000,71017784,80015110,348547523,m/the_smurfs_2
15-Nov-13,The Best Man Holiday,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,17000000,70525195,79459931,72835710,m/the_best_man_holiday_2013
7-Aug-13,Percy Jackson: Sea of Monsters,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,90000000,68559554,77245217,200859554,m/percy_jackson_sea_of_monsters
14-Feb-13,A Good Day to Die Hard,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,92000000,67349198,75881751,304249198,m/a_good_day_to_die_hard
1-Feb-13,Warm Bodies,Lionsgate,Comedy,Based on Fiction Book/Short Story,Live Action,Fantasy,30000000,66380662,74790511,114834312,m/warm_bodies
1-Mar-13,Jack the Giant Slayer,Warner Bros.,Adventure,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Fantasy,195000000,65187603,73446300,197687603,m/jack_the_giant_slayer
