Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office
11-Nov-11,Jack and Jill,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$79,000,000 ","$74,158,157 ","$85,649,902 ","$150,519,217 "
23-Nov-11,Hugo,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$180,000,000 ","$73,864,507 ","$85,218,888 ","$180,047,784 "
11-Feb-11,Justin Bieber: Never Say Never,Paramount Pictures,Concert/Performance,Based on Real Life Events,Live Action,Factual,"$13,000,000 ","$73,013,910 ","$84,338,895 ","$99,034,125 "
23-Sep-11,Dolphin Tale,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,"$37,000,000 ","$72,286,779 ","$83,497,797 ","$96,068,724 "
21-Jan-11,No Strings Attached,Paramount Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000 ","$70,662,220 ","$81,622,443 ","$149,228,078 "
17-Jun-11,Mr. Poppers's Penguins,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$55,000,000 ","$68,224,452 ","$78,806,558 ","$189,624,452 "
18-Nov-11,Happy Feet Two,Warner Bros.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$135,000,000 ","$64,006,466 ","$73,921,081 ","$157,956,466 "
18-Feb-11,Unknown,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","$63,686,397 ","$73,564,620 ","$136,123,083 "
4-Mar-11,The Adjustment Bureau,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$50,200,000 ","$62,495,645 ","$72,189,172 ","$126,931,325 "
22-Apr-11,Water for Elephants,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$38,000,000 ","$58,709,717 ","$67,816,014 ","$116,809,717 "
18-Mar-11,The Lincoln Lawyer,Lionsgate,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$40,000,000 ","$58,009,200 ","$67,006,838 ","$87,145,086 "
20-May-11,Midnight in Paris,Sony Pictures Classics,Romantic Comedy,Original Screenplay,Live Action,Fantasy,"$30,000,000 ","$56,816,662 ","$65,627,406 ","$162,275,213 "
22-Jul-11,Friends with Benefits,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","$55,802,754 ","$64,458,160 ","$146,595,891 "
18-Feb-11,I am Number Four,Walt Disney,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$50,000,000 ","$55,100,437 ","$63,646,904 ","$146,195,159 "
